GEOID,occupied_housing_units,renter_households
35001000107,1204,324
35001000108,1303,697
35001000109,1042,189
35001000110,1949,1152
35001000111,1124,240
35001000112,831,170
35001000113,1520,781
35001000114,1239,333
35001000115,1702,1044
35001000116,1347,305
35001000117,1068,165
35001000118,1099,485
35001000119,708,171
35001000120,1052,439
35001000121,2410,1278
35001000122,1963,806
35001000123,2003,413
35001000124,2369,1744
35001000125,1694,149
35001000126,1167,511
35001000127,1110,189
35001000128,1368,440
35001000129,2319,1640
35001000203,965,622
35001000204,1494,506
35001000205,1435,726
35001000206,1262,415
35001000207,1264,440
35001000208,1372,375
35001000300,2792,1250
35001000401,1898,595
35001000402,1504,593
35001000501,1494,929
35001000503,2006,1262
35001000504,694,337
35001000601,1914,872
35001000603,1965,1441
35001000605,1755,1218
35001000704,1518,662
35001000711,2214,559
35001000712,1793,687
35001000713,2658,1573
35001000714,2159,762
35001000715,822,276
35001000716,1734,760
35001000717,931,768
35001000718,1966,471
35001000719,1069,95
35001000720,2011,252
35001000904,1750,750
35001000905,849,450
35001000906,2208,2173
35001000907,966,570
35001000908,1534,1321
35001001101,2147,737
35001001102,1430,576
35001001201,1771,1189
35001001202,1270,669
35001001300,1495,360
35001001400,838,423
35001001500,1512,870
35001001701,959,355
35001001702,1572,1451
35001001800,439,393
35001002000,1238,923
35001002100,1266,1116
35001002200,1938,1312
35001002301,669,243
35001002302,1088,245
35001002303,984,355
35001002401,1898,386
35001002403,1477,524
35001002404,1132,362
35001002700,2110,1137
35001002900,1509,634
35001003001,1971,763
35001003002,1785,450
35001003100,1230,145
35001003201,1306,409
35001003202,2282,1167
35001003400,1865,1533
35001003501,2130,687
35001003502,2020,262
35001003600,2672,718
35001003707,2340,1288
35001003712,2356,406
35001003715,1941,464
35001003717,2546,1006
35001003718,1142,419
35001003719,2880,1355
35001003722,2452,494
35001003723,3280,1257
35001003724,1579,466
35001003725,1971,714
35001003726,982,151
35001003728,2170,1409
35001003729,752,71
35001003730,1709,137
35001003731,1384,11
35001003733,1490,1366
35001003736,1125,658
35001003737,1277,395
35001003738,2525,1664
35001003739,955,278
35001003740,2879,2597
35001003741,839,2
35001003742,2148,366
35001003743,2324,599
35001003744,416,0
35001003745,528,151
35001003746,2133,213
35001003803,1413,119
35001003804,2289,177
35001003805,1044,115
35001003806,1438,89
35001003807,2133,202
35001004001,1566,364
35001004300,2094,1034
35001004401,983,210
35001004402,1274,296
35001004501,1209,363
35001004502,1167,432
35001004602,1395,154
35001004603,1236,224
35001004604,1442,138
35001004712,2241,391
35001004713,2234,437
35001004715,1388,161
35001004716,1192,865
35001004720,1658,528
35001004722,2453,1110
35001004723,2622,484
35001004724,1210,96
35001004725,1568,146
35001004726,998,152
35001004727,710,80
35001004728,2074,268
35001004729,1821,227
35001004733,2368,305
35001004734,2232,569
35001004735,572,108
35001004736,457,212
35001004737,2845,231
35001004738,2343,1072
35001004739,2222,508
35001004742,2964,588
35001004743,1427,286
35001004744,2510,243
35001004745,2281,470
35001004747,1963,574
35001004749,1992,1377
35001004750,2447,443
35001004752,1485,746
35001004753,1664,757
35001004754,1745,407
35001004755,1389,156
35001004756,1502,284
35001004757,1934,356
35001004758,1363,216
35001004759,1199,286
35001004760,1780,1441
35001004761,879,81
35001004762,1725,420
35001004763,1914,950
35001004764,1555,946
35001004800,1873,754
35001004900,2224,1825
35001940500,1325,78
35001940601,3402,222
35001940602,601,68
35001940700,985,88
35001940800,0,0
35001980000,1359,1319
35001980300,0,0
35001980500,0,0
35001980600,4,0
